"rNames.tag","x.0.m.theta","x.0.s.area","x.0.s.perimeter","x.0.s.radius.sd","x.0.s.radius.min","x.a.b.mad","x.a.b.q001","x.a.m.eccentricity","x.a.m.theta","x.Ba.b.mad","x.Ba.b.q001","x.Ba.b.q005","x.Ba.b.q05","x.Ba.b.q099","x.Ba.m.cx","x.Ba.m.cy","x.Ba.m.theta","x.Ba.h.asm.s1","x.Ba.h.cor.s1","x.Ba.h.sen.s1","x.Ba.h.f13.s1","x.Ba.h.asm.s2","x.Ba.h.cor.s2","x.Ba.h.idm.s2","x.Ba.h.f12.s2","h.asm.s1","h.f13.s1","h.var.s2","h.sen.s2","h.dva.s2"
"istr",-0.682606198567966,31637,909,13.5873139290796,74.648469729946,0.0523270588235294,0.388235294117647,0.649168073887717,-0.690924647830496,0.144817509286529,-0.512953424060592,-0.132501277052338,0.311024951115919,0.974004608506982,146.603118395025,161.182237826379,-0.701835658325689,0.0128792910777251,0.785677155817193,1.58159998699354,0.651779361418131,0.0074123336057856,0.386749193085533,0.299824293206159,0.0773530451286351,0.0470880541425029,0.616987984883764,5.76883744348728,1.16784119368404,3.82962055514362
"snep",-0.258968542161289,123221,1252,9.32482808388995,170.097229708577,0.0581411764705883,0.27843137254902,0.359154347266004,-0.175165620608501,0.091244148587531,-0.359087661696479,-0.062583619559984,0.236990251578746,0.68415013414011,258.606634826305,208.782347133464,-0.204027763314999,0.022105306448302,0.799676116582885,1.41612261615911,0.66358390842777,0.0140809430698546,0.439489311676041,0.396801543396702,0.09851735431532,0.0598655030778261,0.719838810808462,5.44483060283774,1.18153063885691,1.81047340717274
"lmac",1.31294242154113,39004,1683,21.7009744014728,67.304419224995,0.0755835294117646,0.32156862745098,0.766181338208156,1.31737306924986,0.283112914124817,-0.762874141796955,-0.360086487939265,0.287373548925355,1.11372584488857,160.108328226659,211.775154100821,1.30828271773229,0.020297190248333,0.747126097318115,1.64854740781991,0.586459244596447,0.00904993339903177,0.298510417728339,0.222663586323153,0.0370324094600152,0.0265395630935626,0.592110049571472,8.11688007774656,1.24924867387612,8.06094904086296
"spsp",-0.526182571383218,94827,4701,34.5422581523373,92.9425065469561,0.0697694117647058,0.376470588235294,0.550738764943509,-0.530650668117426,0.16995881478432,-0.446504884265308,-0.152654627849759,0.284381683928433,0.992551012790223,319.285589218827,274.505609712379,-0.57041038703264,0.0139495979242564,0.793849659635341,1.59985397430992,0.652976891986789,0.0071209305032997,0.406618191410119,0.290454945184026,0.0720824195982084,0.0375074018899358,0.676529204658214,6.95524825254258,1.25090021855743,4.04811019138966
"bspp",0.0736710804169144,36360,642,13.008133491018,89.8432938717855,0.0406988235294118,0.2,0.690507770297543,0.0713603684861907,0.0791226522669812,-0.430874185344635,-0.183303972714228,0.147983844391696,0.455861209719445,169.511899642012,168.666758669734,0.0626171368410882,0.0378487884155715,0.808419258579868,1.26111312873913,0.6424304833332,0.0251686792304733,0.502475249786531,0.457911918444969,0.106849736173913,0.0848748668742757,0.67874741008678,4.36759169535469,1.07000284120997,1.40942948807365
"iacu",-0.256810580524874,27640,1162,16.0415752281407,53.1603232100703,0.0581411764705882,0.286274509803922,0.670415621617186,-0.259477335530486,0.2278587878532,-0.860525144078035,-0.384624301958129,0.307203191092683,1.15596557353989,118.808657904985,134.934996820386,-0.276577830602927,0.0164614581620769,0.765633078298032,1.64969611266583,0.627327378849351,0.00820918277539731,0.349587726972574,0.255758187881654,0.0578766651103808,0.0357056399791681,0.622038865734377,9.03585594017598,1.2508150802848,7.73220427695529
"ipat",-0.733997479367332,89225,1799,35.0569353040928,120.518513156432,0.0697694117647058,0.309803921568627,0.813829047985161,-0.729012859612617,0.214275724165098,-0.732500818081882,-0.31902136351914,0.288342003652407,1.23429066596455,254.84214810242,219.503430824183,-0.723897050030972,0.0185917887476587,0.798035134374855,1.61779104646378,0.668499088123271,0.00971188226868929,0.429358096849243,0.297358903709043,0.0830408488076469,0.0355651890177983,0.66689595176043,8.52879174785681,1.27678231906482,6.23385224634713
"istr",1.29146934620685,31728,1172,21.8342144461692,42.6927311651807,0.0523270588235294,0.372549019607843,0.602964762729784,1.28234314875532,0.144686012317582,-0.586899008576729,-0.167803898540102,0.305476479402094,1.00142101642272,138.401120856166,162.458865967895,1.26307266377708,0.0137936911617258,0.75884006834195,1.58001595905378,0.642015204125278,0.00763723009972285,0.328451576090857,0.297211650128604,0.0712012874111259,0.0525408443763468,0.622563789741437,5.74969897357071,1.15493849954389,4.44080375952034
"snep",-0.370237066649854,53161,820,6.99921963210673,109.877476325625,0.063955294117647,0.28078431372549,0.452028813873224,-0.344638918406567,0.169882062172016,-0.585250327848311,-0.236128310235621,0.262340464493596,0.858087875671396,162.569545782457,157.1616288309,-0.29935656820999,0.0189009140918547,0.779363877745298,1.5520201845511,0.634026241669527,0.0101675420808161,0.377329602101104,0.295611445594646,0.0647207764537751,0.0463909265561768,0.647325238837468,6.40144821770964,1.19857708753242,4.04576807286308
"spsp",0.198416775129877,88267,4189,31.4655000565735,99.3098660618924,0.0406988235294118,0.415686274509804,0.600820199289147,0.193382446428744,0.127503993465554,-0.596956014123336,-0.0850852404236308,0.328486895722837,1.00764263840536,228.728152369403,248.934002097539,0.159226252181512,0.0118623858220953,0.748313717735952,1.56958564050584,0.637994393877687,0.00716493892134279,0.319017686403057,0.299311277885181,0.0720118110538003,0.0615388887806777,0.602713461690642,5.31653415174762,1.11928635275948,4.26068536556742
"bspp",-1.10521242476986,59535,879,15.0178683179433,115.606449585385,0.0755835294117647,0.227450980392157,0.663111310198613,-1.0894225161838,0.0866741276313541,-0.277183293816914,-0.0699818919048776,0.172236745700537,0.571657035351049,193.773793235372,208.686663529305,-1.07361052599048,0.0259989475668884,0.798281159848609,1.34665482419402,0.639746998035657,0.0162715672616426,0.446316536638137,0.408328647553874,0.086774645922232,0.0548762410219854,0.741240255719314,5.80788839123347,1.19499544934531,1.50907545887152
