"rNames.tag","s.area","s.perimeter","s.radius.sd","s.radius.min","h.asm.s1","h.cor.s1","h.var.s2","h.sen.s2","h.dva.s2","m.eccentricity","m.theta","b.mad","b.q005"
"iacu",24796,935,8.93492195454252,68.8380306658722,0.0584689130738804,0.769106884037996,4.48788109855157,1.09387112392784,3.04165631469979,0.40414387516122,-0.898208234172693,0.0465129411764707,0.388235294117647
"bspp",30311,637,9.10991317207021,71.8271079778035,0.0826291511243277,0.831781901507363,3.499590654557,1.04508876259619,1.33919951729686,0.52912971133155,0.0540889314084182,0.0523270588235295,0.207843137254902
"bspp",17248,474,7.65725260864035,60.3237629929864,0.0636367828493147,0.789311130697251,4.35727462028403,1.11478857419887,2.44626626269827,0.60546339743434,0.798931528774642,0.0465129411764706,0.337254901960784
"bspp",20202,536,5.27656510107593,69.8237681758711,0.0696346373823158,0.862774709359345,4.06546508568205,1.10656654369639,1.46907971124236,0.541660284354517,-1.12162934078829,0.0523270588235295,0.309803921568627
"spps",79284,2632,63.9177576188558,34.9615435840031,0.0639066842411588,0.782398987472372,4.06839934984692,1.08053787930632,2.29345547705923,0.889600417772974,-0.742623202739912,0.0523270588235294,0.435294117647059
"bspp",36307,755,10.6190812619475,76.3902781673331,0.0635782456104415,0.836835873859946,4.52722346661295,1.12562382950156,1.93068780105299,0.488801372887837,-0.231940543216389,0.0639552941176471,0.290196078431373
"bspp",56980,905,11.5360532480919,106.640056287293,0.0680441037011074,0.899999528276047,4.84436477217296,1.15898404969142,1.16927263994877,0.450835909692395,-0.970292973147871,0.0523270588235295,0.227450980392157
"bspp",36307,755,10.6190812619475,76.3902781673331,0.0635782456104415,0.836835873859946,4.52722346661295,1.12562382950156,1.93068780105299,0.488801372887836,-0.23194054321639,0.0639552941176471,0.290196078431373
"bspp",83406,1394,28.3926072434917,85.4245766007264,0.0714393668592292,0.852462393690967,4.95290174288819,1.13606387960409,2.00794808225171,0.500884912467717,-0.0682913917291075,0.0465129411764706,0.258823529411765
"bspp",25654,632,12.1828355781884,76.3149618633335,0.0395225872786707,0.906980904636628,8.09357895422723,1.24602626404017,2.48250856641964,0.702842154164825,-0.823628441926969,0.116282352941176,0.258823529411765
"bspp",42405,1097,32.0011743816553,61.164773708596,0.0451798482176378,0.83001720400894,5.42566060975618,1.17355863612282,2.6976043574665,0.738432456395129,0.25851082521402,0.0639552941176471,0.243137254901961
"spsp",108078,4049,26.0479634517109,136.430954215367,0.105153130182159,0.852073267954946,5.00831685805809,1.02406796952385,2.10232141836948,0.315020531250987,0.269873788702984,0.034884705882353,0.654901960784314
"squa",62214,3851,29.3061477511875,83.106372730992,0.0122186289374471,0.859439457533191,14.8186124434704,1.43814783817899,8.39693998309383,0.778736368466633,0.352442573652617,0.133724705882353,0.274509803921569
"bspp",43652,719,7.62014371884691,105.853771842058,0.0708352031387607,0.883126292368465,4.07229725016269,1.1142164633282,1.14854979913151,0.550507217543103,0.0704051753021257,0.0523270588235294,0.262745098039216
"espp",14096,745,4.7448503488541,54.7875702358573,0.0134744810506015,0.72861404180265,10.1292290813627,1.31272945621091,11.3143406837354,0.313090491030536,0.285680002986954,0.104654117647059,0.274509803921569
"iacu",47154,1099,17.4305431053812,94.1326671936283,0.0526582816564517,0.802955645288377,6.15220320836033,1.17446917768037,4.55791272003806,0.669715075282311,-0.703296556816281,0.0523270588235294,0.490196078431373
"ipat",57994,1248,15.9624384025485,96.3734659792855,0.0993780925267249,0.816408798182952,4.84702499005361,1.08699555506006,3.13190146401333,0.304530059862324,1.45541473986158,0.0406988235294118,0.447058823529412
"istr",22873,894,10.3833959966574,69.1787743273951,0.0595334361315609,0.769281193527438,4.79669101013159,1.11330259285548,3.4183558811632,0.465349825347856,0.691929234123809,0.0523270588235294,0.419607843137255
